date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:34:19	40582/40582	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/index_v2.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/index_v2.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:20	41553/41553	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/index_v3.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/index_v3.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:21	27787/27787	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/about_v1.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/about_v1.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:22	27664/27664	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/about_v2.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/about_v2.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:23	23897/23897	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/our_agent.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/our_agent.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:23	20197/20197	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/our_agent_single.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/our_agent_single.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:24	56351/56351	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/insurance_all_new.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/insurance_all_new.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:25	26821/26821	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/insurance_all.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/insurance_all.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:26	16832/16832	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/insurance_single.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/insurance_single.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:26	17790/17790	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/make_a_claim.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/make_a_claim.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:27	12960/12960	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/404_error.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/404_error.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:28	13661/13661	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/coming_soon.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/coming_soon.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:29	22569/22569	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/testimonials_all_col.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/testimonials_all_col.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:29	21290/21290	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/faqs_right_sidebar.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/faqs_right_sidebar.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:30	15200/15200	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/pricing_tables_v1.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/pricing_tables_v1.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:31	16371/16371	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/pricing_tables_v2.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/pricing_tables_v2.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:31	16412/16412	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/contact_v1.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/contact_v1.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:32	15535/15535	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/contact_v2.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/contact_v2.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:33	26044/26044	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/typography.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/typography.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:34	24659/24659	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/blog_standard_left_sidebar.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/blog_standard_left_sidebar.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:34	24673/24673	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/blog_standard_right_sidebar.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/blog_standard_right_sidebar.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:35	27123/27123	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/blog_single_left_sidebar.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/blog_single_left_sidebar.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:36	25925/25925	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/blog_single_right_sidebar.html	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/blog_single_right_sidebar.html	(from http://iglyphic.com/themes/html/html_safest/)
18:34:46	45491/45491	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/images/service/mortgage-1.png	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/images/service/mortgage-1.png	(from http://iglyphic.com/themes/html/html_safest/)
18:34:53	36850/36850	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/images/service/home-insurance-1.png	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/images/service/home-insurance-1.png	(from http://iglyphic.com/themes/html/html_safest/)
18:35:00	43439/43439	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/images/service/home-service-1.png	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/images/service/home-service-1.png	(from http://iglyphic.com/themes/html/html_safest/)
18:35:07	36121/36121	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/images/service/consulting-1.png	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/images/service/consulting-1.png	(from http://iglyphic.com/themes/html/html_safest/)
18:35:21	83185/83185	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/images/couple.png	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/images/couple.png	(from http://iglyphic.com/themes/html/html_safest/)
18:35:24	330350/330350	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/img-rev-slider/index2-slider-7.png	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/img-rev-slider/index2-slider-7.png	(from http://iglyphic.com/themes/html/html_safest/)
18:36:04	243323/243323	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jul%202017%2023:38:26%20GMT	http://iglyphic.com/themes/html/html_safest/images/team/ps-2.jpg	C:/Users/JMB2/Desktop/iglyphic9618/iglyphic/iglyphic.com/themes/html/html_safest/images/team/ps-2.jpg	(from http://iglyphic.com/themes/html/html_safest/)
